## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=gc_bias_metrics/BACW_57_gc_bias_chart.pdf SUMMARY_OUTPUT=gc_bias_metrics/BACW_57_gc_summary.txt INPUT=BACW_57.deduplicated.sorted.bam OUTPUT=gc_bias_metrics/BACW_57_gc_bias_metrics.txt REFERENCE_SEQUENCE=/media/ml/mydisk/cfNOME/references/Homo_sapiens/NCBI/GRCh38/Sequence/BismarkIndex/genome.fa    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 11 16:24:07 CEST 2025

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	36	114265477	9175619	7	0.787984	0.00026			
All Reads	ALL	37	116110601	9790221	7	0.827404	0.000264			
All Reads	ALL	38	115907234	10264220	7	0.868985	0.000271			
All Reads	ALL	39	113900160	10567615	7	0.910437	0.00028			
All Reads	ALL	40	110364340	10711192	7	0.952371	0.000291			
All Reads	ALL	41	105407746	10721061	7	0.998073	0.000305			
All Reads	ALL	42	99544188	10668623	7	1.051694	0.000322			
All Reads	ALL	43	93500811	10590600	7	1.111482	0.000342			
All Reads	ALL	44	88088657	10532377	7	1.173285	0.000362			
All Reads	ALL	45	83720724	10521193	7	1.233187	0.00038			
All Reads	ALL	46	80351717	10554454	6	1.288955	0.000397			
All Reads	ALL	47	77655538	10598938	6	1.339328	0.000411			
All Reads	ALL	48	74952441	10561397	6	1.382715	0.000425			
All Reads	ALL	49	71661283	10372964	6	1.420415	0.000441			
All Reads	ALL	50	67505559	9998597	6	1.453438	0.00046			
All Reads	ALL	51	62660114	9473967	6	1.483672	0.000482			
All Reads	ALL	52	57645953	8857715	6	1.507822	0.000507			
All Reads	ALL	53	52963590	8252531	6	1.528998	0.000532			
All Reads	ALL	54	48793587	7685792	6	1.545692	0.000558			
All Reads	ALL	55	45115286	7184330	6	1.562642	0.000583			
All Reads	ALL	56	41569878	6668916	6	1.57425	0.00061			
All Reads	ALL	57	37799155	6139670	6	1.593896	0.000643			
All Reads	ALL	58	33644269	5531804	6	1.61344	0.000686			
All Reads	ALL	59	29144419	4863997	6	1.637702	0.000743			
All Reads	ALL	60	24632876	4194379	6	1.670897	0.000816			
All Reads	ALL	61	20468515	3562518	5	1.707921	0.000905			
All Reads	ALL	62	16914610	2993045	5	1.736394	0.001004			
All Reads	ALL	63	13979884	2510000	5	1.761843	0.001112			
All Reads	ALL	64	11560263	2096337	5	1.779469	0.001229			
All Reads	ALL	65	9542060	1731795	5	1.780949	0.001353			
All Reads	ALL	66	7868349	1422750	5	1.774361	0.001488			
All Reads	ALL	67	6396960	1151612	5	1.766565	0.001646			
All Reads	ALL	68	5119562	916613	5	1.756913	0.001835			
All Reads	ALL	69	4099097	724738	5	1.734962	0.002038			
All Reads	ALL	70	3289710	566107	5	1.688644	0.002244			
All Reads	ALL	71	2634439	439647	5	1.63762	0.00247			
All Reads	ALL	72	2131665	342859	5	1.578315	0.002695			
All Reads	ALL	73	1739975	269370	5	1.519159	0.002927			
All Reads	ALL	74	1435643	213757	5	1.46107	0.00316			
All Reads	ALL	75	1208249	173258	4	1.407129	0.003381			
All Reads	ALL	76	1041500	144209	4	1.358721	0.003578			
All Reads	ALL	77	916351	119628	4	1.281056	0.003704			
All Reads	ALL	78	815285	101923	4	1.226761	0.003843			
All Reads	ALL	79	711558	83954	4	1.157786	0.003996			
All Reads	ALL	80	606682	69485	4	1.123898	0.004264			
All Reads	ALL	81	510586	56599	4	1.08777	0.004572			
All Reads	ALL	82	428988	44831	4	1.025487	0.004843			
All Reads	ALL	83	353096	34799	4	0.967099	0.005184			
All Reads	ALL	84	276529	26011	4	0.923025	0.005723			
All Reads	ALL	85	200966	18589	4	0.907675	0.006657			
All Reads	ALL	86	134371	13104	4	0.956964	0.00836			
All Reads	ALL	87	88139	8350	3	0.929641	0.010174			
All Reads	ALL	88	60841	5590	3	0.901597	0.012059			
All Reads	ALL	89	39439	3468	3	0.86288	0.014652			
All Reads	ALL	90	25739	2148	3	0.818917	0.017669			
All Reads	ALL	91	16593	1286	3	0.760524	0.021208			
All Reads	ALL	92	9922	713	3	0.70516	0.026408			
All Reads	ALL	93	6255	384	3	0.602422	0.030742			
All Reads	ALL	94	3553	214	3	0.591038	0.040403			
All Reads	ALL	95	1701	103	3	0.594196	0.058548			
All Reads	ALL	96	986	37	3	0.368232	0.060537			
All Reads	ALL	97	658	25	2	0.37283	0.074566			
All Reads	ALL	98	328	13	2	0.388926	0.107869			
All Reads	ALL	99	133	3	1	0.221343	0.127793			
All Reads	ALL	100	339	2	2	0.057893	0.040937			


